file,session_id,model,effort,cli_version,test_id,system_memory_instruction,memory_dot_codex_path,memory_md_file,raw_memories_file,memory_summary_file,rollout_summaries_dir,single_url_retrieval_skill,memory_skills_dir,memory_sources,docs_consumption_loaded,docs_consumption_path,docs_consumption_desc,docs_consumption_name_mentioned,docs_consumption_path_mentioned,protocol_prefix,protocol_prefix_source,skill_language,skill_language_source,skill_sources
rollout-2026-07-12T20-19-05-019f597c-4a23-74a1-97cf-561073556047.jsonl,019f597c-4a23-74a1-97cf-561073556047,gpt-5.6-luna,xhigh,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"final_answer, system, system_instruction, tool_output",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,commentary,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-12T20-51-09-019f5999-a649-7ac3-954a-ac59bbcbac71.jsonl,019f5999-a649-7ac3-954a-ac59bbcbac71,gpt-5.6-luna,high,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"final_answer, system, system_instruction, tool_output",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,,none,true,final_answer,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-12T21-04-19-019f59a5-b313-7f52-acf7-46a908a83f52.jsonl,019f59a5-b313-7f52-acf7-46a908a83f52,gpt-5.6-luna,medium,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"final_answer, system, system_instruction",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,final_answer,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-12T21-13-40-019f59ae-445e-73b3-a03c-a73530be71a7.jsonl,019f59ae-445e-73b3-a03c-a73530be71a7,gpt-5.6-luna,low,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"system, system_instruction",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,final_answer,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-13T12-37-16-019f5cfb-d7e3-7ab0-b611-5f0668fc830f.jsonl,019f5cfb-d7e3-7ab0-b611-5f0668fc830f,gpt-5.6-sol,low,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"final_answer, system, system_instruction, tool_output",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,final_answer,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-13T12-59-53-019f5d10-8e63-75d2-91f1-7ba50c59e992.jsonl,019f5d10-8e63-75d2-91f1-7ba50c59e992,gpt-5.6-sol,medium,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"final_answer, system, system_instruction, tool_output",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,,none,true,final_answer,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-13T13-10-07-019f5d19-eae4-72b3-a28a-141cc406f121.jsonl,019f5d19-eae4-72b3-a28a-141cc406f121,gpt-5.6-sol,high,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"final_answer, system, system_instruction, tool_output",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,,none,true,final_answer,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-13T13-24-53-019f5d27-70f9-7471-9d0e-123a82a9895e.jsonl,019f5d27-70f9-7471-9d0e-123a82a9895e,gpt-5.6-sol,xhigh,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"final_answer, system, system_instruction, tool_output",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,,none,true,final_answer,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-13T15-28-31-019f5d98-9fdc-7713-aae5-f6d391a51d74.jsonl,019f5d98-9fdc-7713-aae5-f6d391a51d74,gpt-5.6-sol,ultra,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"final_answer, system, system_instruction, tool_output",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,,none,true,final_answer,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-13T14-20-55-019f5d5a-be38-7a71-b370-f254f406ad41.jsonl,019f5d5a-be38-7a71-b370-f254f406ad41,gpt-5.6-terra,low,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"final_answer, system, system_instruction, tool_output",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,,none,true,final_answer,"final_answer, system_loaded, tool_output"
rollout-2026-07-13T14-35-17-019f5d67-e4c9-76e2-a8ae-0d10d9f64e77.jsonl,019f5d67-e4c9-76e2-a8ae-0d10d9f64e77,gpt-5.6-terra,medium,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"final_answer, system, system_instruction, tool_output",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,,none,true,tool_output,"system_loaded, tool_output"
rollout-2026-07-13T14-45-24-019f5d71-2768-7463-aae5-55e02fb0d5fc.jsonl,019f5d71-2768-7463-aae5-55e02fb0d5fc,gpt-5.6-terra,high,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"final_answer, system, system_instruction, tool_output",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,tool_output,"commentary, final_answer, system_loaded, tool_output"
rollout-2026-07-13T14-56-00-019f5d7a-db04-7b60-aafe-c1f9f071b5e8.jsonl,019f5d7a-db04-7b60-aafe-c1f9f071b5e8,gpt-5.6-terra,xhigh,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"final_answer, system, system_instruction, tool_output",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,,none,true,tool_output,"system_loaded, tool_output"
rollout-2026-07-13T15-05-05-019f5d83-2bfd-7d82-a164-b94e984e0caf.jsonl,019f5d83-2bfd-7d82-a164-b94e984e0caf,gpt-5.6-terra,ultra,0.144.0-alpha.4,EC-6,true,true,true,false,true,true,true,true,"final_answer, system, system_instruction, tool_output",true,/Users/rhyannonjoy/Documents/GitHub/agent-ecosystem-testing/.agents/skills/docs-consumption/SKILL.md,"When fetching a URL for web retrieval testing, report response metrics, truncation status, tool identifiers, workspace a",true,false,COMPLETE,final_answer,true,tool_output,"commentary, final_answer, system_loaded, tool_output"
